

times in msec
 clock   self+sourced   self:  sourced script
 clock   elapsed:              other lines
310.411  000.830  000.751: sourcing /Users/hongxin/.vim/bundle/wildfire.vim/plugin/wildfire.vim
310.620  000.050  000.050: sourcing /Users/hongxin/.vim/bundle/vim-litecorrect/plugin/litecorrect.vim
310.912  000.092  000.092: sourcing /Users/hongxin/.vim/bundle/vim-textobj-sentence/plugin/textobj/sentence.vim
311.314  000.204  000.204: sourcing /Users/hongxin/.vim/bundle/vim-textobj-quote/plugin/textobj/quote.vim
311.672  000.212  000.212: sourcing /Users/hongxin/.vim/bundle/vim-wordy/plugin/wordy.vim
312.246  000.025  000.025: sourcing /Users/hongxin/.vim/bundle/syntastic/plugin/syntastic/autoloclist.vim
312.326  000.020  000.020: sourcing /Users/hongxin/.vim/bundle/syntastic/plugin/syntastic/balloons.vim
312.403  000.023  000.023: sourcing /Users/hongxin/.vim/bundle/syntastic/plugin/syntastic/checker.vim
312.482  000.020  000.020: sourcing /Users/hongxin/.vim/bundle/syntastic/plugin/syntastic/cursor.vim
312.560  000.021  000.021: sourcing /Users/hongxin/.vim/bundle/syntastic/plugin/syntastic/highlighting.vim
312.642  000.026  000.026: sourcing /Users/hongxin/.vim/bundle/syntastic/plugin/syntastic/loclist.vim
312.717  000.021  000.021: sourcing /Users/hongxin/.vim/bundle/syntastic/plugin/syntastic/modemap.vim
312.791  000.019  000.019: sourcing /Users/hongxin/.vim/bundle/syntastic/plugin/syntastic/notifiers.vim
312.869  000.023  000.023: sourcing /Users/hongxin/.vim/bundle/syntastic/plugin/syntastic/registry.vim
312.946  000.021  000.021: sourcing /Users/hongxin/.vim/bundle/syntastic/plugin/syntastic/signs.vim
314.147  000.755  000.755: sourcing /Users/hongxin/.vim/bundle/syntastic/autoload/syntastic/util.vim
321.198  000.084  000.084: sourcing /Users/hongxin/.vim/bundle/syntastic/plugin/syntastic/autoloclist.vim
321.338  000.075  000.075: sourcing /Users/hongxin/.vim/bundle/syntastic/plugin/syntastic/balloons.vim
321.637  000.241  000.241: sourcing /Users/hongxin/.vim/bundle/syntastic/plugin/syntastic/checker.vim
321.816  000.119  000.119: sourcing /Users/hongxin/.vim/bundle/syntastic/plugin/syntastic/cursor.vim
321.980  000.102  000.102: sourcing /Users/hongxin/.vim/bundle/syntastic/plugin/syntastic/highlighting.vim
322.395  000.358  000.358: sourcing /Users/hongxin/.vim/bundle/syntastic/plugin/syntastic/loclist.vim
322.568  000.111  000.111: sourcing /Users/hongxin/.vim/bundle/syntastic/plugin/syntastic/modemap.vim
322.714  000.090  000.090: sourcing /Users/hongxin/.vim/bundle/syntastic/plugin/syntastic/notifiers.vim
323.214  000.443  000.443: sourcing /Users/hongxin/.vim/bundle/syntastic/plugin/syntastic/registry.vim
323.395  000.121  000.121: sourcing /Users/hongxin/.vim/bundle/syntastic/plugin/syntastic/signs.vim
324.696  011.696  009.197: sourcing /Users/hongxin/.vim/bundle/syntastic/plugin/syntastic.vim
325.244  000.373  000.373: sourcing /Users/hongxin/.vim/bundle/vim-fugitive/plugin/fugitive.vim
325.470  000.060  000.060: sourcing /Users/hongxin/.vim/bundle/gist-vim/plugin/gist.vim
335.508  009.890  009.890: sourcing /Users/hongxin/.vim/bundle/nerdcommenter/plugin/NERD_commenter.vim
336.300  000.451  000.451: sourcing /Users/hongxin/.vim/bundle/vim-commentary/plugin/commentary.vim
337.107  000.522  000.522: sourcing /Users/hongxin/.vim/bundle/tabular/plugin/Tabular.vim
337.481  000.100  000.100: sourcing /Users/hongxin/.vim/bundle/rainbow/plugin/rainbow_main.vim
339.430  001.685  001.685: sourcing /Users/hongxin/.vim/bundle/tagbar/plugin/tagbar.vim
340.114  000.458  000.458: sourcing /Users/hongxin/.vim/bundle/YouCompleteMe/plugin/youcompleteme.vim
341.133  000.136  000.136: sourcing /Users/hongxin/.vim/bundle/ultisnips/autoload/UltiSnips/map_keys.vim
341.345  001.009  000.874: sourcing /Users/hongxin/.vim/bundle/ultisnips/plugin/UltiSnips.vim
341.633  000.068  000.068: sourcing /Users/hongxin/.vim/bundle/vim-snippets/plugin/vimsnippets.vim
342.340  000.060  000.060: sourcing /usr/local/Cellar/neovim/0.3.0/share/nvim/runtime/filetype.vim
342.795  000.021  000.021: sourcing /usr/local/Cellar/neovim/0.3.0/share/nvim/runtime/ftplugin.vim
343.000  001.197  001.116: sourcing /Users/hongxin/.vim/bundle/jedi-vim/plugin/jedi.vim
349.037  005.738  005.738: sourcing /Users/hongxin/.vim/bundle/emmet-vim/plugin/emmet.vim
351.292  001.000  001.000: sourcing /Users/hongxin/.vim/bundle/vim-go/autoload/go/config.vim
352.215  002.818  001.819: sourcing /Users/hongxin/.vim/bundle/vim-go/plugin/go.vim
354.178  000.555  000.555: sourcing /usr/local/Cellar/neovim/0.3.0/share/nvim/runtime/plugin/gzip.vim
354.370  000.057  000.057: sourcing /usr/local/Cellar/neovim/0.3.0/share/nvim/runtime/plugin/health.vim
354.700  000.194  000.194: sourcing /usr/local/Cellar/neovim/0.3.0/share/nvim/runtime/plugin/man.vim
354.938  000.112  000.112: sourcing /usr/local/Cellar/neovim/0.3.0/share/nvim/runtime/plugin/matchit.vim
355.540  000.479  000.479: sourcing /usr/local/Cellar/neovim/0.3.0/share/nvim/runtime/plugin/matchparen.vim
357.031  001.358  001.358: sourcing /usr/local/Cellar/neovim/0.3.0/share/nvim/runtime/plugin/netrwPlugin.vim
357.707  000.511  000.511: sourcing /usr/local/Cellar/neovim/0.3.0/share/nvim/runtime/plugin/rplugin.vim
357.918  000.058  000.058: sourcing /usr/local/Cellar/neovim/0.3.0/share/nvim/runtime/plugin/rrhelper.vim
358.379  000.316  000.316: sourcing /usr/local/Cellar/neovim/0.3.0/share/nvim/runtime/plugin/shada.vim
358.614  000.087  000.087: sourcing /usr/local/Cellar/neovim/0.3.0/share/nvim/runtime/plugin/spellfile.vim
359.183  000.426  000.426: sourcing /usr/local/Cellar/neovim/0.3.0/share/nvim/runtime/plugin/tarPlugin.vim
359.558  000.221  000.221: sourcing /usr/local/Cellar/neovim/0.3.0/share/nvim/runtime/plugin/tohtml.vim
359.742  000.061  000.061: sourcing /usr/local/Cellar/neovim/0.3.0/share/nvim/runtime/plugin/tutor.vim
360.267  000.410  000.410: sourcing /usr/local/Cellar/neovim/0.3.0/share/nvim/runtime/plugin/zipPlugin.vim
360.291  011.879: loading plugins
360.513  000.223: loading packages
362.357  000.664  000.664: sourcing /Users/hongxin/.vim/bundle/tabular/autoload/tabular.vim
366.281  005.359  004.695: sourcing /Users/hongxin/.vim/bundle/tabular/after/plugin/TabularMaps.vim
366.842  000.260  000.260: sourcing /Users/hongxin/.vim/bundle/ultisnips/after/plugin/UltiSnips_after.vim
366.995  000.862: loading after plugins
367.014  000.019: inits 3
368.065  001.051: reading ShaDa
370.902  002.836: clearing screen
371.966  000.493  000.493: sourcing /Users/hongxin/.vim/bundle/vim-airline/autoload/airline/extensions.vim
372.295  000.087  000.087: sourcing /Users/hongxin/.vim/bundle/vim-airline/autoload/airline/extensions/quickfix.vim
372.589  000.054  000.054: sourcing /Users/hongxin/.vim/bundle/vim-airline/autoload/airline/extensions/netrw.vim
372.893  000.088  000.088: sourcing /Users/hongxin/.vim/bundle/vim-airline/autoload/airline/extensions/ctrlp.vim
373.171  000.048  000.048: sourcing /Users/hongxin/.vim/bundle/vim-airline/autoload/airline/extensions/undotree.vim
373.494  000.113  000.113: sourcing /Users/hongxin/.vim/bundle/vim-airline/autoload/airline/extensions/hunks.vim
373.799  000.083  000.083: sourcing /Users/hongxin/.vim/bundle/vim-airline/autoload/airline/extensions/tagbar.vim
374.168  000.142  000.142: sourcing /Users/hongxin/.vim/bundle/vim-airline/autoload/airline/util.vim
374.625  000.283  000.283: sourcing /Users/hongxin/.vim/bundle/vim-airline/autoload/airline/extensions/branch.vim
374.920  000.050  000.050: sourcing /Users/hongxin/.vim/bundle/vim-airline/autoload/airline/extensions/bufferline.vim
375.298  000.076  000.076: sourcing /Users/hongxin/.vim/bundle/vim-airline/autoload/airline/extensions/syntastic.vim
375.695  000.164  000.164: sourcing /Users/hongxin/.vim/bundle/vim-airline/autoload/airline/extensions/whitespace.vim
376.206  000.073  000.073: sourcing /Users/hongxin/.vim/bundle/vim-airline/autoload/airline/extensions/wordcount.vim
376.527  000.045  000.045: sourcing /Users/hongxin/.vim/bundle/vim-airline/autoload/airline/extensions/keymap.vim
380.731  000.108  000.108: sourcing /Users/hongxin/.vim/bundle/vim-airline/autoload/airline/section.vim
381.249  000.248  000.248: sourcing /Users/hongxin/.vim/bundle/vim-airline/autoload/airline/highlighter.vim
384.738  000.086  000.086: sourcing /Users/hongxin/.vim/bundle/vim-airline/autoload/airline/themes.vim
385.110  000.974  000.889: sourcing /Users/hongxin/.vim/bundle/vim-airline-themes/autoload/airline/themes/solarized.vim
403.294  000.277  000.277: sourcing /Users/hongxin/.vim/bundle/vim-airline/autoload/airline/builder.vim
403.888  000.131  000.131: sourcing /Users/hongxin/.vim/bundle/vim-airline/autoload/airline/extensions/default.vim
434.043  000.363  000.363: sourcing /Users/hongxin/.vim/bundle/syntastic/autoload/syntastic/log.vim
434.113  059.312: opening buffers
436.671  001.184  001.184: sourcing /Users/hongxin/.vim/bundle/undotree/autoload/undotree.vim
437.399  002.102: BufEnter autocommands
437.403  000.005: editing files in windows
446.221  003.956  003.956: sourcing /Users/hongxin/.vim/bundle/vim-fugitive/autoload/fugitive.vim
448.430  000.839  000.839: sourcing /Users/hongxin/.vim/bundle/YouCompleteMe/autoload/youcompleteme.vim
449.105  000.049  000.049: sourcing /usr/local/Cellar/neovim/0.3.0/share/nvim/runtime/autoload/provider.vim
731.644  289.395: VimEnter autocommands
731.669  000.025: before starting main loop
745.245  000.912  000.912: sourcing /Users/hongxin/.vim/bundle/vim-signify/autoload/sy.vim
752.319  003.307  003.307: sourcing /Users/hongxin/.vim/bundle/tagbar/autoload/tagbar.vim
752.878  000.101  000.101: sourcing /Users/hongxin/.vim/bundle/tagbar/autoload/tagbar/debug.vim
770.322  034.333: first screen update
770.331  000.009: --- NVIM STARTED ---
